customer_id,signup_date,age_group,location,segment,churn_flag,churn_date,plan_type,plan_price,contract_duration,discount_applied,last_login_date,total_logins,avg_session_duration,features_used_count,payment_status,last_payment_date,outstanding_balance,total_spent,random_notes,survey_response,timestamp
13,2023-07-23,46-55,Chicago,Corporate,0,,Business,49.99,Monthly,10,2024-01-08,312,42.4,12,Successful,2023-08-19,377.2,1649.67,Test data,Very Satisfied,2019-01-01 00:12:00
14,2023-05-13,56+,Miami,Individual,0,,Premium,9.99,Monthly,15,2024-12-16,267,25.72,7,Successful,2023-12-30,239.37,39.96,,Very Dissatisfied,2019-01-01 00:13:00
15,2024-07-19,26-35,Houston,Corporate,0,,Enterprise,29.99,Annual,15,2024-02-11,495,29.87,4,Successful,2023-07-17,156.81,149.95,NA,Neutral,2019-01-01 00:14:00
16,2024-05-05,18-25,New York,Corporate,0,,Premium,29.99,Annual,20,2023-08-01,209,14.12,5,Successful,2024-01-18,383.76,809.73,Feedback given,Neutral,2019-01-01 00:15:00
17,2023-01-02,18-25,New York,Individual,0,,Premium,29.99,Monthly,15,2023-06-09,346,38.4,12,Failed,2024-05-01,368.23,719.76,Feedback given,Dissatisfied,2019-01-01 00:16:00
18,2023-07-18,26-35,New York,Corporate,0,,Business,99.99,Annual,5,2023-07-04,240,46.89,14,Successful,2023-07-05,228.57,99.99,NA,Very Dissatisfied,2019-01-01 00:17:00
19,2023-03-12,46-55,Houston,Student,0,,Enterprise,9.99,Monthly,10,2023-06-23,171,41.26,15,Successful,2024-03-31,204.36,139.86,Feedback given,Dissatisfied,2019-01-01 00:18:00
20,2023-06-29,46-55,New York,Student,0,,Business,29.99,Monthly,0,2024-01-21,221,7.93,16,Successful,2023-02-07,313.45,839.72,Test data,Dissatisfied,2019-01-01 00:19:00
21,2024-03-26,18-25,Los Angeles,Individual,1,,Business,29.99,Annual,0,2024-12-31,341,18.74,3,Successful,2023-10-26,199.83,239.92,NA,Very Dissatisfied,2019-01-01 00:20:00
22,2024-07-02,18-25,Miami,Corporate,0,,Enterprise,9.99,Monthly,20,2024-01-12,346,10.5,19,Successful,2024-01-23,138.5,209.79,Customer called support,Very Satisfied,2019-01-01 00:21:00
23,2023-06-23,18-25,Los Angeles,Individual,0,,Premiumm,49.99,Annual,10,2024-03-17,384,38.23,17,Successful,2023-12-06,183.33,1649.67,,Neutral,2019-01-01 00:22:00
24,2023-03-09,18-25,Chicago,Corporate,0,,Basic,29.99,Annual,0,2024-10-25,226,32.24,3,Successful,2024-06-18,229.0,119.96,NA,Dissatisfied,2019-01-01 00:23:00
25,2024-03-23,56+,Houston,Student,0,,Business,49.99,Annual,20,2024-11-23,135,54.84,13,Successful,2024-07-09,311.27,1549.69,Feedback given,Very Dissatisfied,2019-01-01 00:24:00
26,2023-07-03,26-35,Houston,Corporate,0,,Business,99.99,Monthly,15,2023-02-23,419,24.05,8,Successful,2024-08-21,464.05,1599.84,Customer called support,Neutral,2019-01-01 00:25:00
27,2024-08-23,56+,New York,Corporate,0,,Basic,19.99,Monthly,0,2024-12-27,259,10.8,18,Successful,2024-04-11,476.06,459.77,Feedback given,Dissatisfied,2019-01-01 00:26:00
28,2024-06-25,26-35,Los Angeles,Corporate,0,,Standard,99.99,Annual,15,2024-09-20,11,12.59,4,Successful,2024-01-14,258.25,1199.88,Customer called support,Dissatisfied,2019-01-01 00:27:00
29,2024-09-08,46-55,Miami,Student,0,,Premiumm,9.99,Monthly,5,2023-06-25,63,26.25,6,Failed,2023-06-08,90.19,119.88,,Neutral,2019-01-01 00:28:00
30,2024-08-14,56+,Houston,Individual,0,,Standard,19.99,Annual,5,2023-08-01,237,19.8,12,Successful,2023-12-05,37.63,639.68,Customer called support,Very Dissatisfied,2019-01-01 00:29:00
31,2024-12-21,18-25,Miami,Individual,0,,Premium,49.99,Monthly,15,2024-08-07,93,21.89,9,Failed,2023-05-03,432.09,1249.75,Test data,Dissatisfied,2019-01-01 00:30:00
32,2023-04-06,56+,Los Angeles,Corporate,0,,Premiumm,49.99,Monthly,0,2024-07-03,6,51.46,18,Successful,2024-05-27,442.5,299.94,Customer called support,Very Satisfied,2019-01-01 00:31:00
33,2024-02-29,36-45,Miami,Student,0,,Business,9.99,Monthly,5,2023-10-08,29,40.59,2,Successful,2023-02-28,178.08,349.65,Test data,Very Satisfied,2019-01-01 00:32:00
34,2024-05-08,56+,Los Angeles,Individual,0,,Business,49.99,Annual,20,2024-07-22,155,51.4,6,Failed,2023-06-13,273.79,349.93,Test data,Neutral,2019-01-01 00:33:00
35,2024-01-30,18-25,Los Angeles,Corporate,0,,Premiumm,19.99,Monthly,5,2024-02-05,69,44.82,10,Successful,2024-03-30,243.57,619.69,Test data,Dissatisfied,2019-01-01 00:34:00
36,2023-05-11,46-55,Houston,Student,0,,Premium,29.99,Monthly,15,2024-03-07,315,15.91,11,Successful,2023-12-07,100.57,89.97,Customer called support,Satisfied,2019-01-01 00:35:00
37,2023-07-27,26-35,New York,Individual,0,,Standard,9.99,Annual,20,2024-01-19,168,32.09,5,Successful,2024-01-05,130.72,329.67,Feedback given,Satisfied,2019-01-01 00:36:00
38,2023-02-27,36-45,Miami,Corporate,0,,Business,49.99,Annual,0,2024-02-10,158,39.49,14,Successful,2023-10-31,384.8,999.8,Feedback given,Very Dissatisfied,2019-01-01 00:37:00
39,2024-08-31,26-35,New York,Corporate,0,,Premium,49.99,Monthly,20,2023-08-13,43,54.51,1,Successful,2024-05-11,339.82,1649.67,NA,Dissatisfied,2019-01-01 00:38:00
40,2024-04-13,36-45,New York,Student,1,,Business,19.99,Annual,10,2023-08-06,100,7.72,13,Successful,2024-03-08,22.29,499.75,,Dissatisfied,2019-01-01 00:39:00
41,2023-03-17,56+,New York,Individual,0,,Enterprise,99.99,Monthly,20,2023-06-10,210,50.03,3,Successful,2023-03-06,282.56,499.95,NA,Neutral,2019-01-01 00:40:00
42,2024-12-29,56+,Chicago,Individual,0,,Enterprise,29.99,Annual,0,2024-11-01,36,19.97,10,Successful,2024-03-19,3.77,779.74,NA,Satisfied,2019-01-01 00:41:00
43,2023-11-14,46-55,Miami,Individual,0,,Standard,9.99,Monthly,10,2023-04-24,59,57.3,4,Successful,2023-03-21,11.77,309.69,Customer called support,Very Satisfied,2019-01-01 00:42:00
44,2024-05-08,56+,Los Angeles,Individual,0,,Basic,49.99,Monthly,10,2024-11-14,221,32.64,12,Successful,2024-09-28,493.36,449.91,Customer called support,Very Satisfied,2019-01-01 00:43:00
45,2024-09-09,46-55,Los Angeles,Student,0,,Premium,99.99,Monthly,5,2023-10-08,361,36.76,17,Failed,2024-04-14,8.5,899.91,NA,Very Dissatisfied,2019-01-01 00:44:00
46,2024-12-13,46-55,Houston,Individual,0,,Business,49.99,Annual,15,2024-04-02,236,59.16,3,Successful,2023-05-12,199.74,49.99,Feedback given,Very Satisfied,2019-01-01 00:45:00
47,2024-08-21,26-35,New York,Student,0,,Business,99.99,Monthly,15,2024-12-15,407,6.77,1,Failed,2023-07-17,342.13,3099.69,Test data,Satisfied,2019-01-01 00:46:00
48,2024-09-26,26-35,Houston,Corporate,0,,Standard,29.99,Monthly,10,2023-07-07,45,51.21,1,Successful,2024-10-28,261.67,809.73,Feedback given,Very Dissatisfied,2019-01-01 00:47:00
49,2023-05-07,26-35,Chicago,Student,0,,Premiumm,29.99,Annual,20,2024-02-22,498,51.87,8,Successful,2024-01-23,484.71,419.86,NA,Very Satisfied,2019-01-01 00:48:00
50,2023-03-12,26-35,Houston,Corporate,0,,Enterprise,9.99,Annual,10,2024-02-15,78,59.15,11,Failed,2023-03-27,283.85,49.95,Feedback given,Satisfied,2019-01-01 00:49:00
51,2024-06-01,18-25,Los Angeles,Individual,0,,Premium,9.99,Monthly,15,2024-01-21,335,51.55,12,Successful,2023-06-17,330.77,299.7,Customer called support,Satisfied,2019-01-01 00:50:00
52,2023-06-04,56+,New York,Student,0,,Basic,9.99,Annual,0,2023-10-16,124,7.94,7,Successful,2023-12-14,263.64,209.79,Feedback given,Very Satisfied,2019-01-01 00:51:00
53,2024-08-09,46-55,Houston,Student,0,,Standard,9.99,Monthly,20,2024-09-06,161,42.64,13,Successful,2024-08-30,262.14,259.74,Customer called support,Satisfied,2019-01-01 00:52:00
54,2023-12-09,26-35,Chicago,Individual,0,,Business,9.99,Monthly,10,2024-04-01,14,58.9,2,Successful,2023-07-02,267.89,329.67,Feedback given,Dissatisfied,2019-01-01 00:53:00
55,2023-05-04,56+,New York,Individual,1,,Basic,49.99,Annual,20,2024-09-15,297,31.32,19,Successful,2023-05-12,88.3,1749.65,Customer called support,Very Satisfied,2019-01-01 00:54:00
56,2023-07-08,26-35,Los Angeles,Individual,0,,Basic,29.99,Annual,5,2023-06-13,39,56.01,11,Successful,2024-07-04,398.14,659.78,Customer called support,Satisfied,2019-01-01 00:55:00
57,2024-12-23,26-35,Chicago,Student,0,,Standard,29.99,Monthly,0,2024-08-16,262,49.5,17,Successful,2024-10-18,168.22,599.8,Feedback given,Neutral,2019-01-01 00:56:00
58,2024-03-14,26-35,Los Angeles,Corporate,0,,Business,49.99,Annual,10,2023-11-29,245,58.92,5,Successful,2024-09-16,36.51,899.82,,Very Satisfied,2019-01-01 00:57:00
59,2023-01-30,26-35,Houston,Corporate,0,,Enterprise,9.99,Monthly,10,2024-06-03,98,22.02,11,Successful,2024-09-09,409.49,39.96,Feedback given,Very Satisfied,2019-01-01 00:58:00
60,2023-09-15,46-55,Los Angeles,Corporate,0,,Basic,19.99,Monthly,5,2024-04-02,245,53.09,13,Successful,2024-11-01,141.13,439.78,Customer called support,Very Satisfied,2019-01-01 00:59:00
61,2024-01-04,18-25,Miami,Individual,0,,Standard,49.99,Monthly,10,2024-04-27,121,22.86,18,Successful,2024-05-18,262.93,549.89,Test data,Neutral,2019-01-01 01:00:00
62,2024-08-29,56+,Chicago,Individual,1,,Premium,99.99,Monthly,5,2024-03-18,389,9.66,8,Successful,2024-01-26,439.64,2099.79,Feedback given,Dissatisfied,2019-01-01 01:01:00
63,2023-08-20,56+,Chicago,Corporate,0,,Business,9.99,Annual,0,2024-03-20,433,31.22,10,Successful,2023-10-28,8.67,269.73,,Very Dissatisfied,2019-01-01 01:02:00
64,2024-07-09,36-45,New York,Student,0,,Business,9.99,Annual,10,2024-06-23,154,43.12,3,Successful,2023-01-09,184.94,259.74,Feedback given,Neutral,2019-01-01 01:03:00
65,2024-07-23,36-45,Houston,Student,1,,Premium,49.99,Annual,10,2023-03-23,319,44.68,7,Successful,2024-06-22,296.63,99.98,NA,Satisfied,2019-01-01 01:04:00
66,2023-02-22,26-35,Miami,Individual,0,,Standard,99.99,Monthly,5,2024-09-11,376,54.75,18,Successful,2024-11-20,404.13,2799.72,Feedback given,Very Satisfied,2019-01-01 01:05:00
67,2023-08-06,26-35,Chicago,Student,0,,Standard,9.99,Annual,10,2023-07-16,286,22.1,4,Successful,2023-08-08,306.92,19.98,NA,Neutral,2019-01-01 01:06:00
68,2023-12-03,26-35,New York,Corporate,0,,Business,99.99,Annual,20,2024-11-18,498,43.74,8,Successful,2024-04-12,90.4,1999.8,Test data,Very Satisfied,2019-01-01 01:07:00
69,2023-08-16,36-45,Houston,Corporate,0,,Basic,9.99,Annual,10,2024-11-14,114,40.68,2,Successful,2023-05-04,312.29,239.76,Customer called support,Very Dissatisfied,2019-01-01 01:08:00
70,2024-08-06,46-55,New York,Individual,0,,Standard,49.99,Annual,15,2023-05-03,109,21.65,6,Successful,2023-06-05,476.26,799.84,NA,Very Satisfied,2019-01-01 01:09:00
71,2023-09-30,46-55,Chicago,Individual,0,,Basic,19.99,Annual,5,2024-11-24,210,31.19,13,Successful,2023-06-27,467.46,99.95,,Very Satisfied,2019-01-01 01:10:00
72,2023-03-24,56+,New York,Corporate,0,,Business,9.99,Annual,10,2023-04-03,13,27.62,15,Successful,2024-09-14,54.22,29.97,,Dissatisfied,2019-01-01 01:11:00
73,2023-04-04,56+,New York,Individual,0,,Business,9.99,Monthly,0,2024-07-16,240,53.98,17,Successful,2024-02-06,184.88,349.65,NA,Satisfied,2019-01-01 01:12:00
74,2024-02-03,26-35,Los Angeles,Individual,0,,Standard,29.99,Monthly,0,2024-11-15,143,47.74,8,Successful,2023-03-29,409.64,719.76,Test data,Very Dissatisfied,2019-01-01 01:13:00
75,2024-10-12,46-55,Chicago,Student,0,,Enterprise,19.99,Annual,20,2024-07-09,311,39.08,7,Successful,2023-06-22,401.19,679.66,,Very Satisfied,2019-01-01 01:14:00
76,2024-01-10,46-55,New York,Corporate,0,,Standard,49.99,Monthly,10,2023-11-02,458,10.14,10,Successful,2023-08-09,413.4,49.99,Customer called support,Neutral,2019-01-01 01:15:00
77,2024-07-16,36-45,Miami,Individual,0,,Enterprise,19.99,Monthly,20,2024-07-13,117,5.13,19,Successful,2024-09-12,239.16,499.75,,Very Dissatisfied,2019-01-01 01:16:00
78,2023-04-13,56+,Los Angeles,Student,0,,Business,49.99,Monthly,10,2023-05-12,144,20.78,1,Successful,2024-06-23,240.79,99.98,Test data,Neutral,2019-01-01 01:17:00
79,2024-04-30,18-25,Miami,Corporate,0,,Enterprise,49.99,Monthly,20,2024-08-22,169,13.92,2,Successful,2023-12-02,342.55,249.95,Feedback given,Dissatisfied,2019-01-01 01:18:00
80,2023-06-22,18-25,Los Angeles,Student,0,,Business,99.99,Annual,10,2023-12-03,319,41.45,15,Failed,2024-09-30,160.51,219978.00000000003,Customer called support,Very Dissatisfied,2019-01-01 01:19:00
81,2023-12-21,46-55,New York,Student,0,,Basic,9.99,Annual,10,2023-05-02,419,53.0,11,Successful,2024-12-24,116.85,39.96,,Satisfied,2019-01-01 01:20:00
82,2023-02-07,26-35,Chicago,Student,0,,Standard,29.99,Monthly,15,2024-04-11,83,17.43,6,Successful,2023-06-01,457.39,869.71,,Neutral,2019-01-01 01:21:00
83,2024-09-19,46-55,Los Angeles,Individual,0,,Premiumm,29.99,Annual,5,2024-01-02,1,22.06,16,Successful,2023-01-02,128.84,629.79,Customer called support,Very Satisfied,2019-01-01 01:22:00
84,2023-11-08,36-45,Chicago,Corporate,0,,Premium,29.99,Annual,20,2024-05-05,208,16.29,15,Successful,2024-12-17,15.63,179.94,Test data,Very Dissatisfied,2019-01-01 01:23:00
85,2023-05-25,56+,Houston,Corporate,1,,Basic,19.99,Annual,0,2023-03-09,411,8.81,7,Successful,2024-02-24,257.38,199.9,Customer called support,Very Dissatisfied,2019-01-01 01:24:00
86,2024-10-07,18-25,Miami,Student,0,,Basic,29.99,Monthly,5,2024-12-22,85,27.69,13,Successful,2024-06-03,91.17,509.83,Customer called support,Dissatisfied,2019-01-01 01:25:00
87,2024-03-30,18-25,Houston,Student,0,,Business,29.99,Annual,5,2024-04-10,31,27.37,1,Successful,2024-08-03,221.64,839.72,,Satisfied,2019-01-01 01:26:00
88,2023-02-19,56+,New York,Corporate,0,,Premium,49.99,Annual,20,2023-06-18,401,37.91,2,Successful,2024-08-29,405.73,849.83,NA,Very Satisfied,2019-01-01 01:27:00
89,2023-02-01,36-45,New York,Corporate,0,,Premium,19.99,Annual,15,2024-08-12,247,47.41,7,Successful,2024-03-19,71.68,219.89,Test data,Neutral,2019-01-01 01:28:00
90,2024-01-21,18-25,Miami,Student,0,,Enterprise,29.99,Monthly,10,2023-03-29,223,26.27,4,Successful,2024-02-02,131.42,839.72,Customer called support,Dissatisfied,2019-01-01 01:29:00
91,2024-08-10,36-45,Houston,Corporate,1,,Premium,29.99,Annual,10,2024-08-10,253,32.03,14,Successful,2023-01-16,62.62,29.99,Test data,Very Dissatisfied,2019-01-01 01:30:00
92,2024-10-13,26-35,Houston,Corporate,0,,Standard,99.99,Monthly,20,2023-06-17,125,13.18,9,Successful,2023-07-04,110.74,2799.72,,Very Satisfied,2019-01-01 01:31:00
93,2023-09-16,26-35,Miami,Individual,1,,Premiumm,99.99,Monthly,10,2024-07-14,194,11.98,9,Successful,2024-12-27,225.1,3099.69,,Neutral,2019-01-01 01:32:00
94,2023-07-13,56+,Los Angeles,Individual,0,,Premium,9.99,Annual,5,2023-07-20,470,59.6,9,Successful,2023-01-02,21.84,199.8,Test data,Satisfied,2019-01-01 01:33:00
95,2024-10-27,56+,New York,Student,1,,Basic,99.99,Annual,10,2023-11-16,394,59.34,6,Successful,2024-07-01,297.16,3499.65,NA,Very Satisfied,2019-01-01 01:34:00
96,2024-06-26,26-35,Los Angeles,Individual,0,,Basic,29.99,Monthly,10,2024-04-28,64,50.01,4,Failed,2023-02-06,227.23,89.97,,Very Dissatisfied,2019-01-01 01:35:00
97,2024-07-13,18-25,Los Angeles,Corporate,0,,Business,9.99,Monthly,5,2023-07-21,456,55.71,5,Successful,2024-08-30,491.55,39.96,Test data,Dissatisfied,2019-01-01 01:36:00
98,2023-12-01,36-45,Chicago,Corporate,0,,Business,9.99,Annual,5,2023-04-20,176,18.9,5,Successful,2023-08-15,417.06,119.88,Feedback given,Dissatisfied,2019-01-01 01:37:00
99,2023-01-03,46-55,New York,Corporate,1,,Enterprise,9.99,Monthly,20,2024-07-09,202,19.7,18,Successful,2023-03-02,455.83,149.85,,Very Dissatisfied,2019-01-01 01:38:00
100,2024-01-06,56+,Houston,Student,0,,Basic,19.99,Annual,20,2023-04-08,262,7.8,6,Successful,2023-02-28,344.51,699.65,Feedback given,Satisfied,2019-01-01 01:39:00
101,2023-08-28,56+,Chicago,Individual,0,,Premium,29.99,Monthly,5,2024-12-19,25,11.96,1,Successful,2024-05-02,429.67,809.73,,Very Satisfied,2019-01-01 01:40:00
102,2023-02-09,18-25,Miami,Student,0,,Standard,19.99,Annual,20,2024-01-25,118,34.03,13,Successful,2023-10-10,98.41,359.82,Customer called support,Dissatisfied,2019-01-01 01:41:00
103,2024-10-12,36-45,Houston,Student,1,,Premium,49.99,Monthly,10,2023-05-30,410,13.64,16,Successful,2024-08-20,457.41,749.85,Feedback given,Very Dissatisfied,2019-01-01 01:42:00
104,2024-09-08,36-45,New York,Individual,0,,Business,99.99,Annual,10,2024-10-10,103,57.3,18,Successful,2023-05-07,448.78,2499.75,NA,Satisfied,2019-01-01 01:43:00
105,2024-05-14,46-55,Chicago,Corporate,0,,Business,19.99,Monthly,5,2023-07-25,429,40.3,8,Successful,2023-10-09,41.9,79.96,,Very Dissatisfied,2019-01-01 01:44:00
106,2024-09-19,26-35,Miami,Individual,0,,Business,29.99,Annual,10,2023-05-26,417,40.15,1,Successful,2024-10-08,61.4,449.85,Customer called support,Very Dissatisfied,2019-01-01 01:45:00
107,2024-09-07,46-55,Houston,Individual,0,,Business,29.99,Monthly,0,2024-02-11,335,39.58,15,Successful,2023-03-14,253.59,599.8,NA,Very Dissatisfied,2019-01-01 01:46:00
108,2023-10-15,36-45,Houston,Individual,0,,Business,49.99,Annual,5,2024-04-25,260,17.14,13,Successful,2024-03-01,399.8,599.88,NA,Neutral,2019-01-01 01:47:00
109,2024-07-19,46-55,Chicago,Corporate,0,,Enterprise,29.99,Annual,15,2023-03-13,246,54.37,1,Successful,2023-06-30,360.99,779.74,Test data,Neutral,2019-01-01 01:48:00
110,2024-09-25,56+,New York,Student,0,,Standard,49.99,Monthly,0,2023-11-10,304,39.66,4,Successful,2023-08-02,220.54,399.92,NA,Dissatisfied,2019-01-01 01:49:00
111,2024-09-11,26-35,New York,Student,0,,Business,49.99,Monthly,20,2023-11-18,373,54.85,16,Successful,2023-09-08,180.01,1299.74,Test data,Very Dissatisfied,2019-01-01 01:50:00
112,2023-03-03,56+,Chicago,Individual,0,,Standard,9.99,Annual,0,2023-04-12,368,52.87,10,Successful,2024-05-17,254.09,159.84,NA,Very Satisfied,2019-01-01 01:51:00
113,2024-03-22,56+,Houston,Corporate,0,,Enterprise,9.99,Annual,5,2024-11-17,282,5.31,1,Successful,2023-10-03,128.82,119.88,Feedback given,Very Dissatisfied,2019-01-01 01:52:00
114,2023-12-25,36-45,Miami,Individual,0,,Premium,19.99,Monthly,15,2023-08-15,133,40.63,12,Successful,2024-11-23,373.48,239.88,,Neutral,2019-01-01 01:53:00
115,2023-12-23,26-35,Chicago,Student,0,,Basic,9.99,Monthly,10,2024-02-18,173,6.71,6,Successful,2023-07-18,487.58,129.87,NA,Very Dissatisfied,2019-01-01 01:54:00
116,2023-03-29,18-25,Chicago,Individual,0,,Enterprise,49.99,Monthly,20,2024-05-03,179,24.99,7,Successful,2024-08-19,19.58,549.89,Feedback given,Very Satisfied,2019-01-01 01:55:00
117,2023-01-11,36-45,Chicago,Corporate,0,,Premiumm,29.99,Annual,5,2024-10-17,309,34.87,17,Failed,2023-12-08,273.42,779.74,Test data,Neutral,2019-01-01 01:56:00
118,2023-01-08,36-45,Chicago,Student,0,,Business,99.99,Monthly,5,2023-12-14,32,38.15,1,Successful,2023-07-27,31.39,99.99,Test data,Satisfied,2019-01-01 01:57:00
119,2023-11-14,36-45,Chicago,Student,0,,Standard,49.99,Annual,15,2023-12-01,169,5.67,2,Successful,2024-05-06,232.32,699.86,,Satisfied,2019-01-01 01:58:00
120,2023-02-20,36-45,Los Angeles,Individual,0,,Business,29.99,Annual,10,2023-09-26,339,29.33,12,Failed,2024-10-27,490.91,539.82,Customer called support,Dissatisfied,2019-01-01 01:59:00
121,2023-02-07,56+,Houston,Corporate,0,,Basic,29.99,Monthly,0,2023-08-31,235,51.99,6,Successful,2024-09-06,462.36,1019.66,Customer called support,Dissatisfied,2019-01-01 02:00:00
122,2024-06-07,26-35,Chicago,Individual,0,,Premiumm,19.99,Monthly,0,2023-04-17,428,29.96,10,Successful,2024-06-02,38.83,359.82,Feedback given,Very Dissatisfied,2019-01-01 02:01:00
123,2024-03-10,36-45,Houston,Student,1,,Premium,29.99,Monthly,15,2024-10-21,223,20.25,14,Successful,2024-10-12,412.92,1049.65,NA,Very Dissatisfied,2019-01-01 02:02:00
124,2023-02-05,56+,Houston,Individual,0,,Premium,19.99,Monthly,15,2023-10-28,392,9.55,16,Successful,2024-08-03,432.73,299.85,,Neutral,2019-01-01 02:03:00
125,2024-10-02,26-35,Chicago,Student,0,,Premium,49.99,Monthly,15,2023-12-13,70,51.14,8,Failed,2023-03-31,243.37,99.98,NA,Very Satisfied,2019-01-01 02:04:00
126,2024-03-02,18-25,Miami,Corporate,0,,Business,99.99,Annual,10,2023-01-26,377,15.16,7,Successful,2023-03-09,124.97,1299.87,Test data,Satisfied,2019-01-01 02:05:00
127,2023-01-21,46-55,Los Angeles,Student,0,,Basic,99.99,Annual,5,2023-02-15,176,53.51,14,Successful,2024-09-21,265.25,99.99,Customer called support,Neutral,2019-01-01 02:06:00
128,2024-10-03,56+,Chicago,Corporate,0,,Business,99.99,Annual,0,2024-03-29,162,17.63,10,Successful,2023-02-01,256.32,3499.65,NA,Neutral,2019-01-01 02:07:00
129,2024-04-11,46-55,Houston,Individual,0,,Standard,19.99,Monthly,20,2024-12-29,54,15.95,12,Successful,2024-12-03,225.33,599.7,Test data,Dissatisfied,2019-01-01 02:08:00
130,2024-10-05,26-35,Miami,Student,0,,Premium,49.99,Monthly,10,2023-11-30,381,17.38,2,Successful,2023-03-16,369.22,14997.0,NA,Dissatisfied,2019-01-01 02:09:00
131,2024-02-10,18-25,Houston,Corporate,0,,Enterprise,9.99,Monthly,0,2023-03-28,442,34.57,7,Successful,2023-01-09,47.43,339.66,Customer called support,Very Satisfied,2019-01-01 02:10:00
132,2023-08-02,26-35,Los Angeles,Individual,0,,Basic,19.99,Monthly,15,2023-05-03,208,39.23,5,Successful,2023-03-31,254.52,27986.0,NA,Very Dissatisfied,2019-01-01 02:11:00
133,2023-12-08,36-45,Miami,Corporate,0,,Business,19.99,Annual,20,2024-06-25,3,45.93,15,Successful,2024-04-25,47.25,39.98,,Neutral,2019-01-01 02:12:00
134,2023-10-01,46-55,Chicago,Student,0,,Standard,99.99,Annual,5,2024-04-23,401,5.72,4,Successful,2024-12-28,341.34,599.94,NA,Dissatisfied,2019-01-01 02:13:00
135,2023-12-13,36-45,Miami,Student,0,,Business,29.99,Monthly,20,2023-07-26,317,44.97,3,Successful,2024-12-31,148.3,779.74,Feedback given,Neutral,2019-01-01 02:14:00
136,2024-10-04,56+,Miami,Corporate,0,,Standard,99.99,Monthly,20,2024-05-23,417,8.14,1,Successful,2024-09-10,235.24,2799.72,,Very Satisfied,2019-01-01 02:15:00
137,2023-07-14,26-35,Houston,Student,0,,Business,49.99,Monthly,20,2024-03-12,200,42.99,1,Failed,2024-05-05,310.83,99.98,NA,Very Dissatisfied,2019-01-01 02:16:00
138,2023-06-24,36-45,Los Angeles,Corporate,0,,Premium,29.99,Annual,20,2023-03-14,365,58.92,2,Successful,2024-03-20,475.1,1019.66,Customer called support,Dissatisfied,2019-01-01 02:17:00
139,2024-09-12,46-55,Chicago,Corporate,0,,Standard,19.99,Annual,15,2023-06-27,488,58.01,19,Failed,2023-03-17,56.62,199.9,Customer called support,Very Satisfied,2019-01-01 02:18:00
140,2023-11-02,36-45,Chicago,Student,1,,Enterprise,99.99,Monthly,0,2024-04-16,53,16.02,8,Successful,2023-04-24,411.24,1499.85,Test data,Neutral,2019-01-01 02:19:00
